Sample,Library,Sample.category,Tissue.category,useForWGCNA,SampleID,Region,DevStage
"Endothelial Cells - Artery, donor2",CNhs11977.11341.117F9,primary cells,,NA,NA,,
"Endothelial Cells - Artery, donor3",CNhs12023.11413.118E9,primary cells,,NA,NA,,
"Endothelial Cells - Lymphatic, donor1",CNhs10865.11236.116D3,primary cells,,NA,NA,,
"Endothelial Cells - Lymphatic, donor2",CNhs11901.11317.117D3,primary cells,,NA,NA,,
"Endothelial Cells - Lymphatic, donor3",CNhs11906.11393.118C7,primary cells,,NA,NA,,
"Endothelial Cells - Microvascular, donor1",CNhs11925.11265.116G5,primary cells,,NA,NA,,
"Endothelial Cells - Microvascular, donor2",CNhs11376.11342.117G1,primary cells,,NA,NA,,
"Endothelial Cells - Microvascular, donor3",CNhs12024.11414.118F1,primary cells,,NA,NA,,
"Endothelial Cells - Thoracic, donor1",CNhs11926.11266.116G6,primary cells,,NA,NA,,
"Endothelial Cells - Thoracic, donor2",CNhs11978.11343.117G2,primary cells,,NA,NA,,
"Endothelial Cells - Umbilical vein, donor1",CNhs10872.11243.116E1,primary cells,,NA,NA,,
"Endothelial Cells - Umbilical vein, donor2",CNhs11967.11324.117E1,primary cells,,NA,NA,,
"Endothelial Cells - Umbilical vein, donor3",CNhs12010.11400.118D5,primary cells,,NA,NA,,
"Endothelial Cells - Vein, donor1",CNhs12497.11267.116G7,primary cells,,NA,NA,,
"Endothelial Cells - Vein, donor2",CNhs11377.11344.117G3,primary cells,,NA,NA,,
"Endothelial Cells - Vein, donor3",CNhs12026.11416.118F3,primary cells,,NA,NA,,
"Eosinophils, donor2",CNhs12548.12245.129H4,primary cells,,NA,NA,,
"Eosinophils, donor3",CNhs12549.12246.129H5,primary cells,,NA,NA,,
"Esophageal Epithelial Cells, donor1",CNhs11323.11507.119G4,primary cells,,NA,NA,,
"Fibroblast - Aortic Adventitial, donor1",CNhs10874.11245.116E3,primary cells,,NA,NA,,
"Fibroblast - Aortic Adventitial, donor3",CNhs12011.11401.118D6,primary cells,,NA,NA,,
"Fibroblast - Cardiac, donor1",CNhs12498.11268.116G8,primary cells,,NA,NA,,
"Fibroblast - Cardiac, donor2",CNhs11378.11345.117G4,primary cells,,NA,NA,,
"Fibroblast - Cardiac, donor3",CNhs12027.11417.118F4,primary cells,,NA,NA,,
"Fibroblast - Cardiac, donor4",CNhs11909.11452.119A3,primary cells,,NA,NA,,
"Fibroblast - Cardiac, donor5",CNhs12057.11456.119A7,primary cells,,NA,NA,,
"Fibroblast - Cardiac, donor6",CNhs12061.11460.119B2,primary cells,,NA,NA,,
"Fibroblast - Choroid Plexus, donor1",CNhs11319.11492.119E7,primary cells,,NA,NA,,
"Fibroblast - Choroid Plexus, donor2",CNhs12344.11572.120E6,primary cells,,NA,NA,,
"Fibroblast - Conjunctival, donor1",CNhs11339.11531.120A1,primary cells,,NA,NA,,
"Fibroblast - Dermal, donor1",CNhs12499.11269.116G9,primary cells,,NA,NA,,
"Fibroblast - Dermal, donor2",CNhs11379.11346.117G5,primary cells,,NA,NA,,
"Fibroblast - Dermal, donor3",CNhs12028.11418.118F5,primary cells,,NA,NA,,
"Fibroblast - Dermal, donor4",CNhs12052.11450.119A1,primary cells,,NA,NA,,
"Fibroblast - Dermal, donor5",CNhs12055.11454.119A5,primary cells,,NA,NA,,
"Fibroblast - Dermal, donor6",CNhs12059.11458.119A9,primary cells,,NA,NA,,
"Fibroblast - Gingival, donor1",CNhs10866.11237.116D4,primary cells,,NA,NA,,
"Fibroblast - Gingival, donor2",CNhs11961.11318.117D4,primary cells,,NA,NA,,
"Fibroblast - Gingival, donor3",CNhs12006.11394.118C8,primary cells,,NA,NA,,
"Fibroblast - Gingival, donor4 (GFH2)",CNhs10848.11222.116B7,primary cells,,NA,NA,,
"Fibroblast - Gingival, donor5 (GFH3)",CNhs11952.11303.117B7,primary cells,,NA,NA,,
"Fibroblast - Lymphatic, donor1",CNhs11322.11506.119G3,primary cells,,NA,NA,,
"Fibroblast - Lymphatic, donor3",CNhs12118.11667.122G2,primary cells,,NA,NA,,
"Fibroblast - Periodontal Ligament, donor1",CNhs10867.11238.116D5,primary cells,,NA,NA,,
"Fibroblast - Periodontal Ligament, donor2",CNhs11962.11319.117D5,primary cells,,NA,NA,,
"Fibroblast - Periodontal Ligament, donor3",CNhs11907.11395.118C9,primary cells,,NA,NA,,
"Fibroblast - Periodontal Ligament, donor4 (PL29)",CNhs12493.11223.116B8,primary cells,,NA,NA,,
"Fibroblast - Periodontal Ligament, donor5 (PL30)",CNhs11953.11304.117B8,primary cells,,NA,NA,,
"Fibroblast - Periodontal Ligament, donor6 (PLH3)",CNhs11996.11380.118B3,primary cells,,NA,NA,,
"Fibroblast - Pulmonary Artery, donor1",CNhs10878.11250.116E8,primary cells,,NA,NA,,
"Fibroblast - skin dystrophia myotonica, donor1",CNhs11353.11556.120C8,primary cells,,NA,NA,,
"Fibroblast - skin dystrophia myotonica, donor2",CNhs11354.11557.120C9,primary cells,,NA,NA,,
"Fibroblast - skin dystrophia myotonica, donor3",CNhs11913.11560.120D3,primary cells,,NA,NA,,
"Fibroblast - skin normal, donor1",CNhs11351.11553.120C5,primary cells,,NA,NA,,
"Fibroblast - skin normal, donor2",CNhs11914.11561.120D4,primary cells,,NA,NA,,
"Fibroblast - skin spinal muscular atrophy, donor1",CNhs11074.11555.120C7,primary cells,,NA,NA,,
"Fibroblast - skin spinal muscular atrophy, donor2",CNhs11911.11558.120D1,primary cells,,NA,NA,,
"Fibroblast - skin spinal muscular atrophy, donor3",CNhs11912.11559.120D2,primary cells,,NA,NA,,
"Fibroblast - skin walker warburg, donor1",CNhs11352.11554.120C6,primary cells,,NA,NA,,
"Gingival epithelial cells, donor1 (GEA11)",CNhs11061.11221.116B6,primary cells,,NA,NA,,
"Gingival epithelial cells, donor2 (GEA14)",CNhs11896.11302.117B6,primary cells,,NA,NA,,
"Gingival epithelial cells, donor3 (GEA15)",CNhs11903.11379.118B2,primary cells,,NA,NA,,
"granulocyte macrophage progenitor, donor1",CNhs12519.12131.128D7,primary cells,,NA,NA,,
"Hair Follicle Dermal Papilla Cells, donor1",CNhs12501.11271.116H2,primary cells,,NA,NA,,
"Hair Follicle Dermal Papilla Cells, donor2",CNhs11979.11348.117G7,primary cells,,NA,NA,,
"Hair Follicle Dermal Papilla Cells, donor3",CNhs12030.11420.118F7,primary cells,,NA,NA,,
"Hair Follicle Outer Root Sheath Cells, donor1",CNhs12339.11504.119G1,primary cells,,NA,NA,,
"Hair Follicle Outer Root Sheath Cells, donor2",CNhs12347.11584.120F9,primary cells,,NA,NA,,
"Hepatic Sinusoidal Endothelial Cells, donor1",CNhs12075.11521.119H9,primary cells,,NA,NA,,
"Hepatic Sinusoidal Endothelial Cells, donor2",CNhs12092.11601.120H8,primary cells,,NA,NA,,
"Hepatic Stellate Cells (lipocyte), donor1",CNhs11335.11524.119I3,primary cells,,NA,NA,,
"Hepatic Stellate Cells (lipocyte), donor2",CNhs12093.11604.120I2,primary cells,,NA,NA,,
"Hepatocyte, donor1",CNhs12340.11523.119I2,primary cells,,NA,NA,,
"Hepatocyte, donor2",CNhs12349.11603.120I1,primary cells,,NA,NA,,
"Hepatocyte, donor3",CNhs12626.11684.122I1,primary cells,,NA,NA,,
"immature langerhans cells, donor1",CNhs13537.11904.125F5,primary cells,,NA,NA,,
"immature langerhans cells, donor2",CNhs13480.11905.125F6,primary cells,,NA,NA,,
"Intestinal epithelial cells (polarized), donor1",CNhs10875.11246.116E4,primary cells,,NA,NA,,
"Iris Pigment Epithelial Cells, donor1",CNhs12596.11530.119I9,primary cells,,NA,NA,,
"Keratinocyte - epidermal, donor1",CNhs11064.11272.116H3,primary cells,,NA,NA,,
"Keratinocyte - epidermal, donor2",CNhs11381.11349.117G8,primary cells,,NA,NA,,
"Keratinocyte - epidermal, donor3",CNhs12031.11421.118F8,primary cells,,NA,NA,,
"Keratinocyte - oral, donor1",CNhs10879.11251.116E9,primary cells,,NA,NA,,
"Keratocytes, donor1",CNhs11337.11527.119I6,primary cells,,NA,NA,,
"Keratocytes, donor2",CNhs12095.11607.120I5,primary cells,,NA,NA,,
"Lens Epithelial Cells, donor1",CNhs12342.11529.119I8,primary cells,,NA,NA,,
"Lens Epithelial Cells, donor2",CNhs12568.11609.120I7,primary cells,,NA,NA,,
"Lens Epithelial Cells, donor3",CNhs12572.11690.122I7,primary cells,,NA,NA,,
"Mallassez-derived cells, donor1 (MZH3)",CNhs12538.12142.128E9,primary cells,,NA,NA,,
"Mallassez-derived cells, donor2",CNhs13550.11929.125I3,primary cells,,NA,NA,,
"Mallassez-derived cells, donor3",CNhs13551.11930.125I4,primary cells,,NA,NA,,
"Mammary Epithelial Cell, donor1",CNhs11077.11273.116H4,primary cells,,NA,NA,,
"Mammary Epithelial Cell, donor2",CNhs11382.11350.117G9,primary cells,,NA,NA,,
"Mammary Epithelial Cell, donor3",CNhs12032.11422.118F9,primary cells,,NA,NA,,
"Mast cell - stimulated, donor1",CNhs11073.11487.119E2,primary cells,,NA,NA,,
"Mast cell, donor1",CNhs12566.11563.120D6,primary cells,,NA,NA,,
"Mast cell, donor2",CNhs12594.11565.120D8,primary cells,,NA,NA,,
"Mast cell, donor3",CNhs12593.11566.120D9,primary cells,,NA,NA,,
"Mast cell, donor4",CNhs12592.11567.120E1,primary cells,,NA,NA,,
"mature adipocyte, donor1",CNhs12558.12231.129F8,primary cells,,NA,NA,,
"mature adipocyte, donor2",CNhs12559.12232.129F9,primary cells,,NA,NA,,
"mature adipocyte, donor3",CNhs12560.12233.129G1,primary cells,,NA,NA,,
"mature adipocyte, donor4",CNhs12562.12234.129G2,primary cells,,NA,NA,,
"Melanocyte - dark, donor3",CNhs12570.11663.122F7,primary cells,,NA,NA,,
"Melanocyte - light, donor1",CNhs11303.11274.116H5,primary cells,,NA,NA,,
"Melanocyte - light, donor2",CNhs11383.11351.117H1,primary cells,,NA,NA,,
"Melanocyte - light, donor3",CNhs12033.11423.118G1,primary cells,,NA,NA,,
"Meningeal Cells, donor1",CNhs11320.11493.119E8,primary cells,,NA,NA,,
"Meningeal Cells, donor2",CNhs12080.11573.120E7,primary cells,,NA,NA,,
"Meningeal Cells, donor3",CNhs12731.11654.122E7,primary cells,,NA,NA,,
"mesenchymal precursor cell - adipose, donor1",CNhs12363.11747.123G1,primary cells,,NA,NA,,
"mesenchymal precursor cell - adipose, donor2",CNhs12364.11748.123G2,primary cells,,NA,NA,,
"mesenchymal precursor cell - adipose, donor3",CNhs12365.11749.123G3,primary cells,,NA,NA,,
"mesenchymal precursor cell - bone marrow, donor1",CNhs12366.11750.123G4,primary cells,,NA,NA,,
"mesenchymal precursor cell - bone marrow, donor2",CNhs12367.11751.123G5,primary cells,,NA,NA,,
"mesenchymal precursor cell - bone marrow, donor3",CNhs13098.11840.124H4,primary cells,,NA,NA,,
"mesenchymal precursor cell - cardiac, donor1",CNhs12368.11752.123G6,primary cells,,NA,NA,,
"mesenchymal precursor cell - cardiac, donor2",CNhs12369.11753.123G7,primary cells,,NA,NA,,
"mesenchymal precursor cell - cardiac, donor3",CNhs12370.11754.123G8,primary cells,,NA,NA,,
"mesenchymal precursor cell - cardiac, donor4",CNhs12371.11755.123G9,primary cells,,NA,NA,,
"mesenchymal precursor cell - ovarian cancer left ovary, donor1",CNhs12372.11756.123H1,primary cells,,NA,NA,,
"mesenchymal precursor cell - ovarian cancer left ovary, donor2",CNhs13092.11833.124G6,primary cells,,NA,NA,,
"mesenchymal precursor cell - ovarian cancer left ovary, donor3",CNhs12376.11760.123H5,primary cells,,NA,NA,,
"mesenchymal precursor cell - ovarian cancer left ovary, donor4",CNhs13094.11836.124G9,primary cells,,NA,NA,,
"mesenchymal precursor cell - ovarian cancer metastasis, donor1",CNhs12374.11758.123H3,primary cells,,NA,NA,,
"mesenchymal precursor cell - ovarian cancer metastasis, donor2",CNhs13093.11835.124G8,primary cells,,NA,NA,,
"mesenchymal precursor cell - ovarian cancer metastasis, donor3",CNhs12378.11762.123H7,primary cells,,NA,NA,,
"mesenchymal precursor cell - ovarian cancer metastasis, donor4",CNhs13097.11838.124H2,primary cells,,NA,NA,,
"mesenchymal precursor cell - ovarian cancer right ovary, donor1",CNhs12373.11757.123H2,primary cells,,NA,NA,,
"mesenchymal precursor cell - ovarian cancer right ovary, donor2",CNhs12375.11759.123H4,primary cells,,NA,NA,,
"mesenchymal precursor cell - ovarian cancer right ovary, donor3 (SOC-57-02-G)",CNhs13507.11842.124H6,primary cells,,NA,NA,,
"mesenchymal precursor cell - ovarian cancer right ovary, donor3 (SOC-57-02)",CNhs12377.11761.123H6,primary cells,,NA,NA,,
"mesenchymal precursor cell - ovarian cancer right ovary, donor4",CNhs13096.11837.124H1,primary cells,,NA,NA,,
"Mesenchymal stem cells - adipose, donor0",CNhs10844.11217.116B2,primary cells,,NA,NA,,
"Mesenchymal Stem Cells - adipose, donor1",CNhs11345.11537.120A7,primary cells,,NA,NA,,
"Mesenchymal Stem Cells - adipose, donor3",CNhs12922.11698.123A6,primary cells,,NA,NA,,
"Mesenchymal Stem Cells - amniotic membrane, donor1",CNhs11349.11547.120B8,primary cells,,NA,NA,,
"Mesenchymal Stem Cells - amniotic membrane, donor2",CNhs12104.11627.122B7,primary cells,,NA,NA,,
"Mesenchymal Stem Cells - bone marrow, donor1",CNhs11344.11536.120A6,primary cells,,NA,NA,,
"Mesenchymal Stem Cells - bone marrow, donor2",CNhs12100.11616.122A5,primary cells,,NA,NA,,
"Mesenchymal Stem Cells - bone marrow, donor3",CNhs12126.11697.123A5,primary cells,,NA,NA,,
"Mesenchymal stem cells - hepatic, donor0",CNhs10845.11218.116B3,primary cells,,NA,NA,,
"Mesenchymal Stem Cells - hepatic, donor2",CNhs12730.11618.122A7,primary cells,,NA,NA,,
"Mesenchymal stem cells - umbilical, donor0",CNhs12492.11214.116A8,primary cells,,NA,NA,,
"Mesenchymal Stem Cells - umbilical, donor1",CNhs11347.11539.120A9,primary cells,,NA,NA,,
"Mesenchymal Stem Cells - umbilical, donor3",CNhs12127.11700.123A8,primary cells,,NA,NA,,
"Mesenchymal Stem Cells - Wharton's Jelly, donor1",CNhs11057.11548.120B9,primary cells,,NA,NA,,
"Mesothelial Cells, donor1",CNhs10850.11247.116E5,primary cells,,NA,NA,,
"Mesothelial Cells, donor2",CNhs12197.12156.128G5,primary cells,,NA,NA,,
"Mesothelial Cells, donor3",CNhs12012.11402.118D7,primary cells,,NA,NA,,
"migratory langerhans cells, donor1",CNhs13535.11901.125F2,primary cells,,NA,NA,,
"migratory langerhans cells, donor2",CNhs13536.11902.125F3,primary cells,,NA,NA,,
"migratory langerhans cells, donor3",CNhs13547.11903.125F4,primary cells,,NA,NA,,
"Multipotent Cord Blood Unrestricted Somatic Stem Cells, donor1",CNhs11350.11549.120C1,primary cells,,NA,NA,,
"Multipotent Cord Blood Unrestricted Somatic Stem Cells, donor2",CNhs12105.11629.122B9,primary cells,,NA,NA,,
"Myoblast, donor1",CNhs10870.11241.116D8,primary cells,,NA,NA,,
"Myoblast, donor2",CNhs11965.11322.117D8,primary cells,,NA,NA,,
"Myoblast, donor3",CNhs11908.11398.118D3,primary cells,,NA,NA,,
"nasal epithelial cells, donor1, tech_rep1",CNhs12589.12226.129F3,primary cells,,NA,NA,,
"nasal epithelial cells, donor2",CNhs12574.12227.129F4,primary cells,,NA,NA,,
"Natural Killer Cells, donor1",CNhs10859.11230.116C6,primary cells,,NA,NA,,
"Natural Killer Cells, donor2",CNhs11957.11311.117C6,primary cells,,NA,NA,,
"Natural Killer Cells, donor3",CNhs12001.11387.118C1,primary cells,,NA,NA,,
"Neural stem cells, donor1",CNhs11063.11275.116H6,primary cells,brain_pcells,NA,NA,,
"Neural stem cells, donor2",CNhs11384.11352.117H2,primary cells,brain_pcells,NA,NA,,
"Neutrophils, donor1",CNhs10862.11233.116C9,primary cells,,NA,NA,,
"Neutrophils, donor2",CNhs11959.11314.117C9,primary cells,,NA,NA,,
"Neutrophils, donor3",CNhs11905.11390.118C4,primary cells,,NA,NA,,
"Nucleus Pulposus Cell, donor1",CNhs10881.11252.116F1,primary cells,,NA,NA,,
"Nucleus Pulposus Cell, donor2",CNhs12019.11409.118E5,primary cells,,NA,NA,,
"Nucleus Pulposus Cell, donor3",CNhs12063.11462.119B4,primary cells,,NA,NA,,
"Olfactory epithelial cells, donor1",CNhs13816.11933.125I7,primary cells,,NA,NA,,
"Olfactory epithelial cells, donor2",CNhs13817.11934.125I8,primary cells,,NA,NA,,
"Olfactory epithelial cells, donor3",CNhs13818.11935.125I9,primary cells,,NA,NA,,
"Olfactory epithelial cells, donor4",CNhs13819.11936.126A1,primary cells,,NA,NA,,
"Osteoblast - differentiated, donor1",CNhs11311.11276.116H7,primary cells,,NA,NA,,
"Osteoblast - differentiated, donor2",CNhs11980.11353.117H3,primary cells,,NA,NA,,
"Osteoblast - differentiated, donor3",CNhs12035.11425.118G3,primary cells,,NA,NA,,
"Osteoblast, donor2",CNhs11385.11354.117H4,primary cells,,NA,NA,,
"Osteoblast, donor3",CNhs12036.11426.118G4,primary cells,,NA,NA,,
"Pancreatic stromal cells, donor1",CNhs10877.11249.116E7,primary cells,,NA,NA,,
"Pericytes, donor1",CNhs11317.11491.119E6,primary cells,,NA,NA,,
"Pericytes, donor2",CNhs12079.11571.120E5,primary cells,,NA,NA,,
"Peripheral Blood Mononuclear Cells, donor1",CNhs10860.11231.116C7,primary cells,,NA,NA,,
"Peripheral Blood Mononuclear Cells, donor2",CNhs11958.11312.117C7,primary cells,,NA,NA,,
"Peripheral Blood Mononuclear Cells, donor3",CNhs12002.11388.118C2,primary cells,,NA,NA,,
"Placental Epithelial Cells, donor1",CNhs11079.11278.116H9,primary cells,,NA,NA,,
"Placental Epithelial Cells, donor2",CNhs11386.11355.117H5,primary cells,,NA,NA,,
"Placental Epithelial Cells, donor3",CNhs12037.11427.118G5,primary cells,,NA,NA,,
"Preadipocyte - breast, donor1",CNhs11052.11467.119B9,primary cells,,NA,NA,,
"Preadipocyte - breast, donor2",CNhs11971.11328.117E5,primary cells,,NA,NA,,
"Preadipocyte - omental, donor1",CNhs11065.11468.119C1,primary cells,,NA,NA,,
"Preadipocyte - omental, donor2",CNhs11902.11329.117E6,primary cells,,NA,NA,,
"Preadipocyte - omental, donor3",CNhs12013.11403.118D8,primary cells,,NA,NA,,
"Preadipocyte - perirenal, donor1",CNhs12065.11469.119C2,primary cells,,NA,NA,,
"Preadipocyte - subcutaneous, donor2",CNhs11981.11356.117H6,primary cells,,NA,NA,,
"Preadipocyte - subcutaneous, donor3",CNhs12038.11428.118G6,primary cells,,NA,NA,,
"Preadipocyte - visceral, donor1",CNhs11082.11280.116I2,primary cells,,NA,NA,,
"Preadipocyte - visceral, donor2",CNhs11982.11357.117H7,primary cells,,NA,NA,,
"Preadipocyte - visceral, donor3",CNhs12039.11429.118G7,primary cells,,NA,NA,,
"Prostate Epithelial Cells (polarized), donor1",CNhs10882.11253.116F2,primary cells,,NA,NA,,
"Prostate Epithelial Cells, donor2",CNhs11972.11331.117E8,primary cells,,NA,NA,,
"Prostate Epithelial Cells, donor3",CNhs12014.11404.118D9,primary cells,,NA,NA,,
"Prostate Stromal Cells, donor1",CNhs10883.11254.116F3,primary cells,,NA,NA,,
"Prostate Stromal Cells, donor2",CNhs11973.11332.117E9,primary cells,,NA,NA,,
"Prostate Stromal Cells, donor3",CNhs12015.11405.118E1,primary cells,,NA,NA,,
"Renal Cortical Epithelial Cells, donor1",CNhs11331.11516.119H4,primary cells,,NA,NA,,
"Renal Cortical Epithelial Cells, donor2",CNhs12728.11596.120H3,primary cells,,NA,NA,,
"Renal Epithelial Cells, donor1",CNhs11332.11517.119H5,primary cells,,NA,NA,,
"Renal Epithelial Cells, donor2",CNhs12088.11597.120H4,primary cells,,NA,NA,,
"Renal Epithelial Cells, donor3",CNhs12732.11678.122H4,primary cells,,NA,NA,,
"Renal Glomerular Endothelial Cells, donor1",CNhs12074.11514.119H2,primary cells,,NA,NA,,
"Renal Glomerular Endothelial Cells, donor2",CNhs12086.11594.120H1,primary cells,,NA,NA,,
"Renal Glomerular Endothelial Cells, donor3",CNhs12624.11675.122H1,primary cells,,NA,NA,,
"Renal Glomerular Endothelial Cells, donor4",CNhs13080.11783.124B1,primary cells,,NA,NA,,
"Renal Mesangial Cells, donor1",CNhs11333.11518.119H6,primary cells,,NA,NA,,
"Renal Mesangial Cells, donor3",CNhs12121.11679.122H5,primary cells,,NA,NA,,
"Renal Proximal Tubular Epithelial Cell, donor1",CNhs11330.11515.119H3,primary cells,,NA,NA,,
"Renal Proximal Tubular Epithelial Cell, donor2",CNhs12087.11595.120H2,primary cells,,NA,NA,,
"Renal Proximal Tubular Epithelial Cell, donor3",CNhs12120.11676.122H2,primary cells,,NA,NA,,
"Reticulocytes, biol_ rep1",CNhs13552.11931.125I5,primary cells,,NA,NA,,
"Reticulocytes, biol_ rep2",CNhs13553.11932.125I6,primary cells,,NA,NA,,
"Retinal Pigment Epithelial Cells, donor0",CNhs10842.11215.116A9,primary cells,,NA,NA,,
"Retinal Pigment Epithelial Cells, donor1",CNhs11338.11528.119I7,primary cells,,NA,NA,,
"Retinal Pigment Epithelial Cells, donor3",CNhs12733.11689.122I6,primary cells,,NA,NA,,
"salivary acinar cells, donor1",CNhs12810.11771.123I7,primary cells,,NA,NA,,
"salivary acinar cells, donor2",CNhs12811.11772.123I8,primary cells,,NA,NA,,
"salivary acinar cells, donor3",CNhs12812.11773.123I9,primary cells,,NA,NA,,
"Sebocyte, donor1",CNhs10847.11220.116B5,primary cells,,NA,NA,,
"Sebocyte, donor2",CNhs11951.11301.117B5,primary cells,,NA,NA,,
"Sertoli Cells, donor1",CNhs10851.11255.116F4,primary cells,,NA,NA,,
"Skeletal muscle cells differentiated into Myotubes - multinucleated, donor1",CNhs11084.11282.116I4,primary cells,,NA,NA,,
"Skeletal Muscle Cells, donor1",CNhs11083.11281.116I3,primary cells,,NA,NA,,
"Skeletal Muscle Cells, donor4",CNhs12053.11451.119A2,primary cells,,NA,NA,,
"Skeletal Muscle Cells, donor5",CNhs12056.11455.119A6,primary cells,,NA,NA,,
"Skeletal Muscle Cells, donor6",CNhs12060.11459.119B1,primary cells,,NA,NA,,
"Skeletal Muscle Satellite Cells, donor1",CNhs10869.11240.116D7,primary cells,,NA,NA,,
"Skeletal Muscle Satellite Cells, donor2",CNhs11964.11321.117D7,primary cells,,NA,NA,,
"Skeletal Muscle Satellite Cells, donor3",CNhs12008.11397.118D2,primary cells,,NA,NA,,
"Small Airway Epithelial Cells, donor1",CNhs10884.11256.116F5,primary cells,,NA,NA,,
"Small Airway Epithelial Cells, donor2",CNhs11975.11334.117F2,primary cells,,NA,NA,,
"Small Airway Epithelial Cells, donor3",CNhs12016.11406.118E2,primary cells,,NA,NA,,
"Smooth Muscle Cells - Aortic, donor0",CNhs10838.11210.116A4,primary cells,,NA,NA,,
"Smooth Muscle Cells - Aortic, donor1",CNhs11085.11283.116I5,primary cells,,NA,NA,,
"Smooth Muscle Cells - Aortic, donor2",CNhs11305.11360.117I1,primary cells,,NA,NA,,
"Smooth Muscle Cells - Aortic, donor3",CNhs11309.11432.118H1,primary cells,,NA,NA,,
"Smooth Muscle Cells - Brachiocephalic, donor1",CNhs11086.11284.116I6,primary cells,,NA,NA,,
"Smooth Muscle Cells - Brachiocephalic, donor3",CNhs12043.11433.118H2,primary cells,,NA,NA,,
"Smooth Muscle Cells - Brain Vascular, donor1",CNhs10863.11234.116D1,primary cells,,NA,NA,,
"Smooth Muscle Cells - Brain Vascular, donor2",CNhs11900.11315.117D1,primary cells,,NA,NA,,
"Smooth Muscle Cells - Brain Vascular, donor3",CNhs12004.11391.118C5,primary cells,,NA,NA,,
"Smooth Muscle Cells - Bronchial, donor1",CNhs11328.11512.119G9,primary cells,,NA,NA,,
"Smooth Muscle Cells - Bronchial, donor2",CNhs12348.11592.120G8,primary cells,,NA,NA,,
"Smooth Muscle Cells - Carotid, donor1",CNhs11087.11285.116I7,primary cells,,NA,NA,,
"Smooth Muscle Cells - Carotid, donor3",CNhs12044.11434.118H3,primary cells,,NA,NA,,
"Smooth Muscle Cells - Colonic, donor1",CNhs10868.11239.116D6,primary cells,,NA,NA,,
"Smooth Muscle Cells - Colonic, donor2",CNhs11963.11320.117D6,primary cells,,NA,NA,,
"Smooth Muscle Cells - Colonic, donor3",CNhs12007.11396.118D1,primary cells,,NA,NA,,
"Smooth Muscle Cells - Coronary Artery, donor1",CNhs11088.11286.116I8,primary cells,,NA,NA,,
"Smooth Muscle Cells - Coronary Artery, donor2",CNhs11987.11363.117I4,primary cells,,NA,NA,,
"Smooth Muscle Cells - Coronary Artery, donor3",CNhs12045.11435.118H4,primary cells,,NA,NA,,
"Smooth Muscle Cells - Esophageal, donor1",CNhs11324.11508.119G5,primary cells,,NA,NA,,
"Smooth Muscle Cells - Internal Thoracic Artery, donor2",CNhs11988.11364.117I5,primary cells,,NA,NA,,
"Smooth Muscle Cells - Internal Thoracic Artery, donor3",CNhs12046.11436.118H5,primary cells,,NA,NA,,
"Smooth Muscle Cells - Prostate, donor1",CNhs11920.11257.116F6,primary cells,,NA,NA,,
"Smooth Muscle Cells - Prostate, donor2",CNhs11976.11335.117F3,primary cells,,NA,NA,,
"Smooth Muscle Cells - Pulmonary Artery, donor2",CNhs11989.11365.117I6,primary cells,,NA,NA,,
"Smooth Muscle Cells - Subclavian Artery, donor1",CNhs11090.11289.117A2,primary cells,,NA,NA,,
"Smooth Muscle Cells - Subclavian Artery, donor2",CNhs11990.11366.117I7,primary cells,,NA,NA,,
"Smooth Muscle Cells - Subclavian Artery, donor3",CNhs12048.11438.118H7,primary cells,,NA,NA,,
"Smooth Muscle Cells - Tracheal, donor1",CNhs11329.11513.119H1,primary cells,,NA,NA,,
"Smooth Muscle Cells - Tracheal, donor3",CNhs12894.11674.122G9,primary cells,,NA,NA,,
"Smooth Muscle Cells - Umbilical artery, donor0",CNhs10839.11212.116A6,primary cells,,NA,NA,,
"Smooth Muscle Cells - Umbilical Artery, donor1",CNhs11091.11290.117A3,primary cells,,NA,NA,,
"Smooth Muscle Cells - Umbilical Artery, donor2",CNhs11991.11367.117I8,primary cells,,NA,NA,,
"Smooth Muscle Cells - Umbilical Artery, donor3",CNhs12049.11439.118H8,primary cells,,NA,NA,,
"Smooth Muscle Cells - Umbilical Vein, donor1",CNhs12597.11541.120B2,primary cells,,NA,NA,,
"Smooth Muscle Cells - Umbilical Vein, donor2",CNhs12569.11621.122B1,primary cells,,NA,NA,,
"Smooth Muscle Cells - Uterine, donor3",CNhs11927.11466.119B8,primary cells,,NA,NA,,
"Synoviocyte, donor2",CNhs11992.11368.117I9,primary cells,,NA,NA,,
"Synoviocyte, donor3",CNhs12050.11440.118H9,primary cells,,NA,NA,,
"tenocyte, donor1",CNhs12639.11763.123H8,primary cells,,NA,NA,,
"tenocyte, donor2",CNhs12640.11765.123I1,primary cells,,NA,NA,,
"tenocyte, donor3",CNhs12641.11768.123I4,primary cells,,NA,NA,,
"Trabecular Meshwork Cells, donor1",CNhs11340.11532.120A2,primary cells,,NA,NA,,
"Trabecular Meshwork Cells, donor3",CNhs12124.11693.123A1,primary cells,,NA,NA,,
"Tracheal Epithelial Cells, donor1",CNhs11092.11292.117A5,primary cells,,NA,NA,,
"Tracheal Epithelial Cells, donor2",CNhs11993.11369.118A1,primary cells,,NA,NA,,
"Tracheal Epithelial Cells, donor3",CNhs12051.11441.118I1,primary cells,,NA,NA,,
"Urothelial cells, donor0",CNhs10843.11216.116B1,primary cells,,NA,NA,,
"Urothelial Cells, donor1",CNhs11334.11520.119H8,primary cells,,NA,NA,,
